Time,Open,High,Low,Close,AdjClose
791769600,7383.700195,7542.100098,7383.700195,7478.899902,7478.899902
792028800,7531.700195,7918.5,7531.700195,7897.799805,7897.799805
792115200,7927.100098,8146.799805,7927.100098,8004,8004
792201600,7978.100098,7978.100098,7851.5,7934.799805,7934.799805
792288000,7914.600098,8084.5,7871.700195,8054.899902,8054.899902
792374400,8079.899902,8173.600098,8000.799805,8012.799805,8012.799805
792633600,8010.700195,8018.5,7941,7974.799805,7974.799805
792720000,7964.799805,7964.799805,7809.600098,7862.700195,7862.700195
792806400,7857.700195,8103.100098,7838.399902,8103.100098,8103.100098
792892800,8189.899902,8339.599609,8119.799805,8133.299805,8133.299805
792979200,8111,8159.399902,8003.899902,8043,8043
793238400,8013.200195,8013.200195,7853.100098,7906.700195,7906.700195
793324800,7899.899902,8082.299805,7899.899902,8082.299805,8082.299805
793411200,8104.299805,8135.600098,7877.100098,7909.299805,7909.299805
793497600,7934,8033.799805,7907.200195,7976.399902,7976.399902
793584000,8096.700195,8236.299805,8096.700195,8219,8219
793843200,8095,8146.399902,8006.899902,8126.700195,8126.700195
793929600,8170.100098,8339.900391,8168.600098,8327.5,8327.5
794016000,8337.700195,8369.900391,8225.400391,8297,8297
794102400,8308.900391,8348.900391,8233.900391,8253.299805,8253.299805
794188800,8224.200195,8224.200195,8115.5,8185.200195,8185.200195
794448000,8175.700195,8175.700195,8079.100098,8093.899902,8093.899902
794534400,8065.899902,8159.200195,8060.600098,8138.700195,8138.700195
794620800,8068.5,8068.5,7905.799805,7930,7930
794707200,7983.5,8076.799805,7973.100098,8076.799805,8076.799805
794793600,8076.399902,8076.399902,7936.899902,7949.399902,7949.399902
795052800,8021.799805,8123.299805,8021.799805,8111.299805,8111.299805
795139200,8099.200195,8109.600098,8040.5,8094.600098,8094.600098
795225600,8156.799805,8380.400391,8156.799805,8365.200195,8365.200195
795312000,8355.599609,8406.099609,8316.799805,8347.799805,8347.799805
795398400,8428.400391,8563.200195,8428.400391,8534.700195,8534.700195
795657600,8528.5,8594.400391,8501.200195,8594.400391,8594.400391
795744000,8623,8659,8540.099609,8580.299805,8580.299805
795830400,8569.900391,8569.900391,8462.799805,8509.099609,8509.099609
795916800,8504.700195,8509.700195,8435.599609,8467.700195,8467.700195
796003200,8462.599609,8489.200195,8416.599609,8484.700195,8484.700195
796262400,8574.299805,8715.200195,8574.299805,8687.5,8687.5
796348800,8700,8849.5,8665,8827.900391,8827.900391
796435200,8795.299805,8795.299805,8698.700195,8732.799805,8732.799805
796521600,8749,8751.200195,8670.700195,8676.200195,8676.200195
796608000,8718.799805,8743.400391,8577.5,8587.700195,8587.700195
796867200,8514.099609,8514.099609,8362.200195,8400.400391,8400.400391
796953600,8428.900391,8502.400391,8401.099609,8491.900391,8491.900391
797126400,8526.400391,8553.200195,8413.299805,8418.200195,8418.200195
797212800,8426.900391,8483.400391,8389.299805,8470.299805,8470.299805
797472000,8471.700195,8501.799805,8422,8469.799805,8469.799805
797558400,8470,8537,8462.400391,8514.599609,8514.599609
797644800,8514.099609,8517.299805,8454.200195,8509.700195,8509.700195
797731200,8532.599609,8662.900391,8532.599609,8662,8662
798163200,8662.5,8697.400391,8628.299805,8645,8645
798249600,8629.099609,8629.099609,8557.099609,8581.900391,8581.900391
798336000,8591,8676.400391,8591,8631.400391,8631.400391
798422400,8640.299805,8670.900391,8602.5,8645.400391,8645.400391
798681600,8658.299805,8695.700195,8593.400391,8625.599609,8625.599609
798768000,8633.299805,8633.299805,8501.099609,8505.599609,8505.599609
798854400,8489.5,8489.5,8189,8285.700195,8285.700195
798940800,8271.599609,8355.400391,8218.700195,8312.299805,8312.299805
799027200,8313,8364.5,8236.599609,8361,8361
799286400,8348.099609,8348.099609,8215.200195,8226,8226
799372800,8225.5,8252.799805,8095.399902,8212.099609,8212.099609
799459200,8229.400391,8317,8229.400391,8299.700195,8299.700195
799545600,8317.900391,8370.700195,8317.900391,8319.799805,8319.799805
799632000,8307.900391,8340.400391,8224.5,8332.200195,8332.200195
799891200,8321.799805,8489,8316.599609,8488.400391,8488.400391
799977600,8521.5,8590.799805,8497.799805,8574.099609,8574.099609
800064000,8604.900391,8807.5,8604.900391,8796.900391,8796.900391
800150400,8858.700195,9025.700195,8858.700195,9025.700195,9025.700195
800236800,9068.400391,9299.099609,9065.200195,9217.799805,9217.799805
800496000,9216.900391,9276.700195,9080.099609,9189.799805,9189.799805
800582400,9176.799805,9317.299805,9161.900391,9162.299805,9162.299805
800668800,9146.799805,9194.099609,9079.700195,9170.200195,9170.200195
800755200,9146.5,9146.5,9069.299805,9115.700195,9115.700195
800841600,9002.200195,9023.700195,8891.299805,9013.299805,9013.299805
801100800,9014.900391,9060.700195,8987.5,9058.700195,9058.700195
801187200,9112.299805,9334.400391,9112.299805,9302.900391,9302.900391
801273600,9344.799805,9404.799805,9257.799805,9258.200195,9258.200195
801360000,9259.799805,9408.400391,9243,9390.599609,9390.599609
801446400,9387.700195,9387.700195,9301.900391,9329.200195,9329.200195
801705600,9302.099609,9316.200195,9174.900391,9316.200195,9316.200195
801792000,9317.299805,9324.5,9237.299805,9245.299805,9245.299805
801878400,9248.099609,9448.099609,9248.099609,9407.400391,9407.400391
801964800,9547,9625.400391,9547,9559.700195,9559.700195
802310400,9561.900391,9676.099609,9549,9570.400391,9570.400391
802396800,9608.200195,9657.099609,9485.900391,9497.799805,9497.799805
802483200,9494.599609,9494.599609,9347.099609,9382.599609,9382.599609
802569600,9305.799805,9313,9194.700195,9292.799805,9292.799805
802656000,9300.400391,9305.299805,9216.099609,9267.599609,9267.599609
802915200,9221.799805,9221.799805,9065.799805,9121.5,9121.5
803001600,9132,9201,9103.200195,9103.200195,9103.200195
803088000,9185.900391,9364.799805,9185.900391,9364.799805,9364.799805
803174400,9354,9354,9252.5,9262,9262
803260800,9264.400391,9367.700195,9260.700195,9314,9314
803606400,9362.099609,9414.200195,9273.599609,9278.700195,9278.700195
803692800,9261.299805,9285.900391,9232.799805,9243.700195,9243.700195
803779200,9243.599609,9243.599609,9123.900391,9159,9159
803865600,9204.599609,9263.900391,9204.599609,9224.400391,9224.400391
804124800,9223.900391,9223.900391,9156.900391,9201.299805,9201.299805
804211200,9159.200195,9206.799805,9105,9199.5,9199.5
804297600,9200,9213.799805,9144,9151.400391,9151.400391
804384000,9153.200195,9215.5,9153.200195,9200.099609,9200.099609
804470400,9192.900391,9237.299805,9166.599609,9206.5,9206.5
804729600,9208.299805,9213,9110.700195,9138.200195,9138.200195
804816000,9143,9184.799805,9134.200195,9182.5,9182.5
804902400,9190.5,9410.299805,9190.5,9407.299805,9407.299805
804988800,9446.200195,9519.799805,9342.599609,9376.900391,9376.900391
805075200,9461.299805,9640.599609,9461.299805,9632.299805,9632.299805
805334400,9704.5,9772.299805,9675.900391,9727.5,9727.5
805420800,9712.900391,9732.099609,9639.400391,9670,9670
805507200,9646.299805,9699.900391,9620,9639.599609,9639.599609
805593600,9701.700195,9820.799805,9701.700195,9742.400391,9742.400391
805680000,9735.799805,9744.900391,9692,9728,9728
805939200,9686.799805,9686.799805,9598.200195,9634,9634
806025600,9648.900391,9679.400391,9614.599609,9617,9617
806112000,9537,9537,9370.099609,9418.900391,9418.900391
806198400,9359.200195,9423.200195,9240.099609,9423.200195,9423.200195
806284800,9432.799805,9439.099609,9374.099609,9410.200195,9410.200195
806544000,9386.900391,9386.900391,9248.400391,9288,9288
806630400,9297.900391,9413.200195,9269.400391,9359.099609,9359.099609
806716800,9393.799805,9454.900391,9316.900391,9355,9355
806803200,9358.200195,9391.799805,9297,9361.299805,9361.299805
806889600,9371.799805,9466.099609,9371.799805,9451.700195,9451.700195
807148800,9435.5,9465.200195,9434.700195,9453.400391,9453.400391
807235200,9436.099609,9441.099609,9356.5,9385.299805,9385.299805
807321600,9361,9410.200195,9287,9410.099609,9410.099609
807408000,9423.700195,9461.799805,9379.700195,9379.700195,9379.700195
807494400,9371.200195,9389.700195,9341.900391,9362.799805,9362.799805
807753600,9348.5,9350.200195,9305.200195,9318.400391,9318.400391
807840000,9339.200195,9402.099609,9301.900391,9303.799805,9303.799805
807926400,9289.599609,9312,9244.900391,9301.700195,9301.700195
808012800,9315.099609,9331.799805,9132.599609,9142.599609,9142.599609
808099200,9113.200195,9113.200195,8952.599609,9006.900391,9006.900391
808358400,8978.099609,8989.799805,8888,8924.299805,8924.299805
808444800,8943.700195,9003.5,8910.5,8931.299805,8931.299805
808531200,8913.299805,9054.299805,8878.799805,8985.099609,8985.099609
808617600,8986.700195,9033.599609,8896.700195,8896.700195,8896.700195
808704000,8883,8900.099609,8815.900391,8895.799805,8895.799805
808963200,8914.900391,8931.5,8775,8900.5,8900.5
809049600,8913.599609,8958.099609,8907.400391,8947.200195,8947.200195
809136000,8953.900391,9133.400391,8953.400391,9132.599609,9132.599609
809222400,9118.200195,9118.200195,9022.200195,9058.299805,9058.299805
809308800,9066,9104.599609,9038.400391,9080.400391,9080.400391
809654400,9081,9198.400391,9081,9152.900391,9152.900391
809740800,9155.599609,9211.700195,9155.599609,9197.200195,9197.200195
809827200,9196.299805,9197.599609,9126.599609,9179.900391,9179.900391
809913600,9185.799805,9214.200195,9136.299805,9196.5,9196.5
810172800,9209.799805,9282.799805,9209.799805,9253,9253
810259200,9251.299805,9252.400391,9179.400391,9222.900391,9222.900391
810345600,9220.5,9275,9170.200195,9194.700195,9194.700195
810432000,9220.299805,9298.400391,9165,9279,9279
810518400,9283,9395.5,9262.599609,9393.200195,9393.200195
810777600,9421.400391,9493,9389.700195,9439,9439
810864000,9431,9470.700195,9390.400391,9434.799805,9434.799805
